fecha,remesas_total
2020-03,4147.1146
2020-04,2982.6531
2020-05,3541.8263
2020-06,3630.6225
2020-07,3629.1537
2020-08,3654.1707
2020-09,3673.8419
2020-10,3715.2525
2020-11,3491.9473
2020-12,3757.2255
2021-01,3392.8085
2021-02,3264.1015
2021-03,4275.0937
2021-04,4167.7596
2021-05,4677.3251
2021-06,4605.3268
2021-07,4616.2582
2021-08,4776.7196
2021-09,4436.0128
2021-10,4854.0866
2021-11,4689.3135
2021-12,4767.7923
2022-01,3935.0868
2022-02,3928.4852
2022-03,4712.0937
2022-04,4749.1098
2022-05,5173.7153
2022-06,5150.2223
2022-07,5342.837
2022-08,5160.1441
2022-09,5078.5862
2022-10,5404.6702
2022-11,4853.746
2022-12,5379.1316
2023-01,4434.7719
2023-02,4346.1517
2023-03,5189.392
2023-04,5006.8015
2023-05,5675.8614
2023-06,5584.4913
2023-07,5668.486
2023-08,5568.2516
2023-09,5616.5469
2023-10,5817.8255
2023-11,4913.0678
2023-12,5497.0246
2024-01,4573.2226
2024-02,4494.8384
2024-03,5014.5816
2024-04,5418.8526
2024-05,5618.1155
2024-06,6206.8793
2024-07,5592.7573
2024-08,6082.1121
2024-09,5358.4246
2024-10,5730.4832
2024-11,5433.158
2024-12,5222.9563
2025-01,4660.9218
2025-02,4450.9963
2025-03,5141.8122
2025-04,4753.0907
2025-05,5352.7329
2025-06,5199.182
2025-07,5346.6905
2025-08,5587.213
2025-09,5216.8312
2025-10,5636.3865
2025-11,5121.8767
2025-12,5308.7864
2026-01,4594.1301
